Date,Interbank Call Loan Rate,CPI,Wholesale Price,Industrial Production,Intl Trade Merch Exports,Intl Trade Merch Imports,FX Rate
2012-05-01,4.156272222222222,-2.161097609892715,-1.0891069306930734,7.241948736540826,6.634108591509635,-3.671746050405522,3.7626501102389964
2012-06-01,4.09766875,-2.259329685931033,-1.18576782171248,-1.857936477816391,-0.2901289427595266,5.986586567168128,-0.3041404164704109
2012-07-01,4.1187575,-2.4414033235066523,-1.1822630541871937,8.007805521237188,-4.510189800531217,3.7162635922280307,-3.3454766075593723
2012-08-01,4.087178947368422,-2.339187087777972,-2.142158777278247,3.9439276844100313,-6.005721683811505,-11.25068272644717,-4.146300130300151
2012-09-01,3.8632999999999997,-1.7509736946906718,-1.668307131142166,3.01538639997585,-26.296151694932114,-10.674252279051421,-4.751935971701293
2012-10-01,3.795967647058824,-2.226523460151497,-2.1484423408507425,3.4167851263478877,-9.209868925943642,-11.132463277974136,-4.007041697209135
2012-11-01,3.8035809523809525,-2.3210810773786394,-2.1547463693388114,2.3103126606077717,-15.783701171572417,4.570720395992023,-5.584811030897319
2012-12-01,3.613842857142857,-2.791141133859665,-3.0184996013193577,5.373331033789297,-21.236332079981945,-12.149729311360813,-7.023254232078813
2013-01-01,3.623266666666667,-3.6294163678809777,-3.2882030311759625,3.1831440329331384,-25.66607127564303,-9.619745867647278,-9.342069281303456
2013-02-01,3.544283333333333,-3.612166367996017,-2.9922761195420144,-3.202310750834114,-6.169986030503205,-28.719486914892624,-9.405835839180288
2013-03-01,3.1651999999999996,-3.513770114870862,-3.4515876284298974,-4.842958522534458,-27.052130617837367,-12.081155862750514,-9.106312696788532
2013-04-01,2.8602105263157895,-3.422052935271458,-3.8204394599934854,-0.03184112678855655,-18.878946516943696,-17.898603646194633,-7.838747944502544
2013-05-01,2.66877,-3.507109000525299,-3.625956957272225,-9.788267820672925,-8.866709441607412,-11.370158835437449,-5.97866859786903
2013-06-01,2.1666904761904764,-3.8715757465380918,-3.7107526871694163,-10.272318758136489,-18.531878018176094,-2.051063221425542,-2.0780570127893028
2013-07-01,2.241794736842105,-3.668868611887832,-3.700191580641532,-9.187191208180224,-19.358443391036428,-0.6705252073252899,-0.2545734846230441
2013-08-01,2.0693217391304346,-4.022447829886655,-2.3764259232821106,-5.681793724562656,-10.6046194287861,-1.4477561672735173,0.22077064872261243
2013-09-01,2.0423176470588236,-4.01493628109908,-3.412320379146916,-4.2970388492598826,-9.161104488072136,-4.5336919501014155,-0.552087452381167
2013-10-01,2.0104333333333333,-3.727864279324866,-3.3050046590178517,-5.209001409892078,-14.260691143243587,-1.9533879011148891,-3.605947504550644
2013-11-01,2.0253190476190475,-3.544775231688302,-3.9510864359994513,-7.418052511769069,-5.978937766658577,-16.546160254350195,-3.107355944419954
2013-12-01,2.0328325,-2.8971991488447757,-3.568077934272307,-6.485186267907716,-19.000112047617822,-2.0968073508877527,-1.3056972796578026
2014-01-01,2.01565,-1.874414525693846,-2.728128803533525,-3.1137141876531937,2.1425940004658584,-1.5467309683642072,0.722259640066536
2014-02-01,2.0267999999999997,-1.4981288951889327,-2.539985817309909,1.1603031749970016,0.8552883731760774,6.958649617117829,1.523316900855276
2014-03-01,2.0213947368421055,-1.4967263809935516,-2.614374465254421,8.449576716853224,4.50129066656646,-7.967432350889836,0.7781911749365156
2014-04-01,2.0208619047619045,-1.4981288951889327,-2.3320896175025085,-7.701579272585358,-2.367733064096089,-2.9275448243454627,0.5133565125886141
2014-05-01,2.019757894736842,-1.4018715810634519,-2.420855634620933,7.634964658192023,3.353826852780406,6.63889397852182,-1.5399500396339638
2014-06-01,2.0104333333333333,-0.9354571417010238,-2.3234201175356906,10.319882900957822,19.179182631052893,3.205847838197262,-2.591288165090433
2014-07-01,2.115655,-0.56126923929255,-1.6790998604225615,10.675062318623363,-0.8914537819319057,-20.88289461367181,-3.973023071301085
2014-08-01,2.2693714285714286,-0.18674073860619478,-1.7740439173490996,9.788764714536224,-3.0822640029810944,-22.012463374512727,-5.1464700501199
2014-09-01,2.2746999999999997,0.0,-1.309637019464227,9.076971239047493,1.0081360894113267,-10.410816007065481,-5.722483827497394
2014-10-01,2.4256285714285712,0.3741802241266301,-0.8426975418717952,8.843282756349492,11.301245844785779,-12.705751382185648,-3.3714728317351783
2014-11-01,2.531263636363636,0.18691416518024084,-0.4681647808567946,9.87799573815833,8.380176721878186,-17.338509587817818,-4.372330000917435
2014-12-01,2.59065,-0.27958845493896156,-0.37418334192360625,5.6369761447983,-3.4054878998349247,-13.229076882004565,-5.383303162580145
2015-01-01,2.5937882352941175,-0.7441813932138053,-0.7469607982625637,7.192731042084288,-2.4774872361731703,-17.12355911751937,-6.117913993349189
2015-02-01,2.560679411764706,-0.7434908628239922,-0.654202803738313,2.0734048107895697,-3.9291600117240866,-22.150527460726245,-7.168379579399097
2015-03-01,2.5181184210526317,-0.46554725207383907,-0.18639794446231317,-6.734328124137157,-3.9219711428990722,-12.093691147682595,-4.875925498875022
2015-04-01,2.521340909090909,-0.5586562657722727,-0.09320223411364292,-0.23241845543117146,9.607601359491348,-18.691210875639786,-4.042268793463133
2015-05-01,2.528005263157895,-0.6499497868663662,-0.3710584312321408,-6.214222069280872,-0.784108799690697,-29.42654986628851,-4.682860421957402
2015-06-01,2.51565,-0.9267799057636306,-0.09284958475903604,-3.965415538043937,-3.267815426419818,-34.795336145111655,-3.1880535407180277
2015-07-01,2.510955,-1.2927075842731117,-0.6487534634151415,-6.431802714704149,6.584004849373115,-20.58786188826992,-3.810589269628173
2015-08-01,2.516395238095238,-1.2903247211718427,-0.6493552694984639,-8.483783088250052,7.97506553951941,-7.976257145682042,-1.1543566129395
2015-09-01,2.521410526315789,-1.2903247211718427,-0.8348803107176228,-9.253596027577304,1.0022889249506228,-12.132213362564793,-1.431501671156199
2015-10-01,2.5283190476190476,-1.6559346706910283,-1.2938946754314506,-7.066248731008685,-9.024960392932524,-16.65581109886791,-4.110372069882451
2015-11-01,2.5241863636363635,-1.7447189387735484,-2.0183458715596347,-5.950006941549091,-12.585678023993218,-13.685771921254297,-4.370486217068437
2015-12-01,2.51760625,-2.009131093994676,-2.016494995719431,-11.496594742581545,0.14035306593476182,-21.000829757930884,-5.189708064394116
2016-01-01,2.5434277777777776,-2.183809930288816,-2.0128133024845396,-17.97900375246342,-11.039478533143187,-20.352947731520644,-4.473968416275554
2016-02-01,2.5250399999999997,-2.447873436183945,-2.0146493227467754,-12.211393800957627,-27.362983603789527,-17.7218618750981,-4.654182502576187
2016-03-01,2.5197684210526314,-2.981031997680428,-2.365786126191327,-9.264131769559192,-19.419700170521313,-21.12855545637856,-7.063568866481374
2016-04-01,2.5283190476190476,-2.981031997680428,-2.2768669687559084,-13.651667269314139,-26.935319617978216,-23.61685036276331,-7.175959280859178
2016-05-01,2.523847619047619,-3.060307449876931,-1.9108270807856709,-4.297056749101569,-28.65430469526542,-10.5672397158753,-6.133198862432443
2016-06-01,2.5253380952380953,-2.792795618375077,-2.179837460124212,-7.65536646125935,-24.32846148216774,-21.918139377824797,-6.791652282634253
2016-07-01,2.51565,-2.4324290662874115,-1.9090890909090885,-7.321592167869939,-20.4083337917492,-7.422948454570156,-7.069941564902105
2016-08-01,2.5214052631578947,-2.340230452418124,-2.0890054875386976,-5.793692114947746,-23.74403775807116,-6.8027502546964325,-8.243487375276082
2016-09-01,2.5172149999999998,-2.5157191225642084,-2.0890054875386976,-12.739969835940812,-22.903576939964577,-26.77966648139106,-7.018389988305762
2016-10-01,2.514826315789474,-2.9464296314648197,-1.6363663636363657,-8.567247208883922,-16.503239430764527,-11.080105757913227,-5.833477785806529
2016-11-01,2.5058625,-3.0276059526134658,-1.17860649559548,-10.281716368967597,-19.897963905313766,-19.653104254026765,-3.6900683505638687
2016-12-01,2.5015650000000003,-2.925533067770225,-1.2669701357466034,-6.694471922138057,-15.460666898846753,-19.60303002892291,-1.1492010443864054
2017-01-01,2.518775,-2.82934826230663,-1.2646739276785945,-11.821304689912004,-8.806889262472417,-21.442274889764068,-1.5292047946509735
2017-02-01,2.527788888888889,-3.330412014841466,-1.9748698029646405,-9.833436544184138,-2.6268598830614387,-12.19690521163952,-3.522659709510989
2017-03-01,2.51759375,-3.6553505059814584,-1.874998214285717,-13.427665967237667,-4.819487168007674,-15.17362850566405,-3.4424979967514036
2017-04-01,2.5355363636363637,-4.155846370877548,-1.964283035714287,-9.50782300753199,-3.8399121311142426,-6.463562471660323,-4.291771642954856
2017-05-01,2.5772411764705883,-4.306634920799713,-1.96252991904603,-17.901436774319624,-2.5503288125371837,-25.630127544975224,-4.4726503713485855
2017-06-01,2.57815,-4.3927667708350215,-2.133335111111112,-12.897018145205141,-6.164750148589504,-18.67377405195437,-6.027661337129975
2017-07-01,2.5543,-4.965751982376155,-1.7857142857142905,-9.836013868705573,-9.414695934605167,-27.66927966135927,-5.230332134759442
2017-08-01,2.5655,-5.366273521993459,-1.7841213520806698,-9.99769573875584,-7.310358283896468,-32.2053598479632,-4.502817445277918
2017-09-01,2.5533352941176473,-5.996622900554637,-2.046266867504154,-3.9443956135911007,-8.09454606496588,-15.149272947261416,-5.436365695995904
2017-10-01,2.5711999999999997,-6.276150570136496,-2.1352330580919343,-3.1074582600269074,-6.584048771085904,-27.460193790966837,-4.934893579681798
2017-11-01,2.6578399999999998,-6.2604340829057525,-2.1295422039807055,-3.9447613381831004,-10.729435346068783,-24.523220766518794,-3.3515837334069376
2017-12-01,2.69046,-5.68562117850957,-1.8650071379219701,-2.253923358578014,-4.402716134001072,-11.914947108195461,-4.499458649365673
2018-01-01,3.0855473684210524,-4.878048371578547,-1.2488858385171442,10.008892261782698,8.597637489183318,0.2923853889382766,-3.734172865260821
2018-02-01,3.0982380952380955,-4.198146822049942,-1.2411356052889455,3.164568936141565,2.95220750463685,-10.532392790215638,-0.7749062006222274
2018-03-01,3.075673684210526,-3.688185313137682,-0.7971673906613352,12.635126574050549,-1.1498279062043149,-3.4301304794172482,-0.6598091001760675
2018-04-01,3.065655,-3.1852473334468057,-1.060068049295082,10.255222600910564,-0.8067339213276181,-11.320899805188544,-0.026140167587063168
2018-05-01,3.1515899999999997,-2.926421858003947,-1.0591394247359442,20.1793947323613,-2.9201936907181314,-2.7686246181641283,-0.1285646859868983
