Date,Interbank Call Loan Rate,Real GDP,CPI,Wholesale Price,Industrial Production,Intl Trade Merch Exports,Intl Trade Merch Imports,FX Rate,Real GDP_yoy_pct,CPI_yoy_pct,Wholesale Price_yoy_pct,Industrial Production_yoy_pct,Intl Trade Merch Exports_yoy_pct,Intl Trade Merch Imports_yoy_pct,FX Rate_yoy_pct
2014-04-01,2.0208619047619045,3308.135986,89.716438,104.699997,76.938232,235948.265625,245697.9375,44.64157894736842,-4.987666758699527,-1.4981288951889327,-2.3320896175025085,-7.701579272585358,-2.367733064096089,-2.9275448243454627,0.5133565125886141
2014-05-01,2.019757894736842,3621.755859,89.972282,104.800003,81.978989,203560.578125,239349.53125,43.92361904761905,-6.0139564576323075,-1.4018715810634519,-2.420855634620933,7.634964658192023,3.353826852780406,6.63889397852182,-1.5399500396339638
2014-06-01,2.0104333333333333,3621.755859,90.313408,105.099998,87.246689,260391.765625,222519.5,43.8175,-6.0139564576323075,-0.9354571417010238,-2.3234201175356906,10.319882900957822,19.179182631052893,3.205847838197262,-2.591288165090433
2014-07-01,2.115655,3621.755859,90.654541,105.400002,86.013046,239286.171875,211559.90625,43.466523809523814,-6.0139564576323075,-0.56126923929255,-1.6790998604225615,10.675062318623363,-0.8914537819319057,-20.88289461367181,-3.973023071301085
2014-08-01,2.2693714285714286,3367.553467,91.166229,105.199997,82.843979,235744.109375,241803.0625,43.767315789473685,-6.180280506032099,-0.18674073860619478,-1.7740439173490996,9.788764714536224,-3.0822640029810944,-22.012463374512727,-5.1464700501199
2014-09-01,2.2746999999999997,3367.553467,91.336792,105.5,81.539314,239536.3125,255879.0,44.07514285714286,-6.180280506032099,0.0,-1.309637019464227,9.076971239047493,1.0081360894113267,-10.410816007065481,-5.722483827497394
2014-10-01,2.4256285714285712,3367.553467,91.507355,105.900002,85.48172,258029.0,255236.84375,44.797863636363644,-6.180280506032099,0.3741802241266301,-0.8426975418717952,8.843282756349492,11.301245844785779,-12.705751382185648,-3.3714728317351783
2014-11-01,2.531263636363636,3798.601318,91.422073,106.300003,89.628403,230632.0,250392.96875,44.9514,-6.581492643068354,0.18691416518024084,-0.4681647808567946,9.87799573815833,8.380176721878186,-17.338509587817818,-4.372330000917435
2014-12-01,2.59065,3798.601318,91.251511,106.5,85.651711,232602.0,248844.09375,44.68776470588236,-6.581492643068354,-0.27958845493896156,-0.37418334192360625,5.6369761447983,-3.4054878998349247,-13.229076882004565,-5.383303162580145
2015-01-01,2.5937882352941175,3798.601318,90.995667,106.300003,83.994286,214526.03125,244342.953125,44.60441176470587,-6.581492643068354,-0.7441813932138053,-0.7469607982625637,7.192731042084288,-2.4774872361731703,-17.12355911751937,-6.117913993349189
