speech_id,date,title,tone_mean,tone_median,pos_share,neg_share,neu_share,n_sent,label_majority
92,2018-03-12,Private Cryptocurrencies and Lessons from a Red Paperclip,-0.4978716031621138,-0.49412357807159424,0.0,1.0,0.0,110.0,negative
93,2018-03-06,Having the Foresight to Future-Ready the Economy,-0.5187240513957965,-0.5126489400863647,0.0,1.0,0.0,126.0,negative
94,2018-01-19,"Continuity Plus-Plus, Staying Ahead of the Curves",-0.5224813620708281,-0.5115984678268433,0.0,1.0,0.0,68.0,negative
95,2018-01-17,Generativity,-0.5369301655850535,-0.5266118049621582,0.0,1.0,0.0,82.0,negative
96,2018-01-12,Committed,-0.5230634614336686,-0.5141149759292603,0.0,1.0,0.0,28.0,negative
97,2018-01-04,"Reflecting and Acting on Our Immediate Economic Past, Present and Future",-0.5204059755827901,-0.5155874490737915,0.0,1.0,0.0,99.0,negative
98,2017-12-13,Amongst Family,-0.503172180324361,-0.529201328754425,0.0,1.0,0.0,58.0,negative
99,2017-11-28,The BSP and Some ABCs,-0.5137804275108394,-0.5160132646560669,0.0,1.0,0.0,57.0,negative
100,2017-11-27,Why the Philippines,-0.51931992588282,-0.5095655918121338,0.0,1.0,0.0,101.0,negative
101,2017-11-27,Moving the Capital Markets Dialogue Forward,-0.49655647352612764,-0.49417832493782043,0.0,1.0,0.0,44.0,negative
102,2017-11-21,Ready in the Age of Great Convergence,-0.5187639185903119,-0.5065321326255798,0.0,1.0,0.0,114.0,negative
103,2017-11-20,Strength Without Agility is Mere Mass*,-0.5242678360575215,-0.5153780579566956,0.0,1.0,0.0,93.0,negative
104,2017-11-17,Collective and Individual Competitive Advantages,-0.5250232974932494,-0.5147474408149719,0.0,1.0,0.0,113.0,negative
105,2017-11-11,UP Naming Mahal: Di Rin Magbabago Ang Damdamin,-0.5050790077450132,-0.5074962377548218,0.0,1.0,0.0,122.0,negative
106,2017-11-08,"Disruptors, Enablers and Intended Consequences",-0.5161907587400091,-0.513657808303833,0.0,1.0,0.0,112.0,negative
107,2017-10-27,Statistical and Actual Inclusion,-0.5179438502858011,-0.5124648213386536,0.0,1.0,0.0,64.0,negative
108,2017-10-26,Thinking out of the Bank,-0.5157237735706478,-0.5085662603378296,0.0,1.0,0.0,127.0,negative
109,2017-10-25,Maintaining a Conducive Macroeconomic Environment,-0.5175865773224949,-0.5138041973114014,0.0,1.0,0.0,100.0,negative
110,2017-10-24,"Build, Build, Building our FIN-frastructure",-0.523439877496278,-0.5154989361763,0.0,1.0,0.0,114.0,negative
111,2017-10-23,Of BFFs and Growth,-0.5108704811323133,-0.5013148784637451,0.0,1.0,0.0,111.0,negative
112,2017-10-18,Supporting the Backbone as we Sprint,-0.5176752942056373,-0.5085378885269165,0.0,1.0,0.0,91.0,negative
113,2017-10-04,Continuity and Change: Not an Either/Or,-0.5262160280684522,-0.5195586681365967,0.0,1.0,0.0,105.0,negative
