window_scheme,horizon_h,model,tone_spec,rmse,naive_rmse,pct_dRMSE_vs_naive
rolling,2,OLS,ToneMean,0.6757202887069571,0.25687109030369215,-163.058130795517
rolling,2,Ridge,NEG,0.695646673340132,0.25687109030369215,-170.8154788916443
rolling,2,Ridge,None,0.6983612096065758,0.25687109030369215,-171.87224875361454
rolling,2,Ridge,POSNEG,0.6973076419189633,0.25687109030369215,-171.46209450606304
rolling,2,Ridge,ToneMean,0.6806562106392313,0.25687109030369215,-164.97968682832652
rolling,2,SVR,NEG,0.7086641157227264,0.25687109030369215,-175.88317349565915
rolling,2,SVR,None,0.6720358134411902,0.25687109030369215,-161.62376336187128
rolling,2,SVR,POSNEG,0.7682480586456432,0.25687109030369215,-199.07922208659724
rolling,2,SVR,ToneMean,0.7162450612930443,0.25687109030369215,-178.8344381013239
rolling,3,ElasticNet,NEG,0.7067115463027557,0.37262160625105367,-89.65930435783936
rolling,3,ElasticNet,None,0.707722142484737,0.37262160625105367,-89.93051680634682
rolling,3,ElasticNet,POSNEG,0.7113121098860603,0.37262160625105367,-90.89395192151419
rolling,3,ElasticNet,ToneMean,0.6941284241225685,0.37262160625105367,-86.28238740801834
rolling,3,Lasso,NEG,0.7149767131059203,0.37262160625105367,-91.87741695907053
rolling,3,Lasso,None,0.7161983295159486,0.37262160625105367,-92.20526064540935
rolling,3,Lasso,POSNEG,0.7211371924960227,0.37262160625105367,-93.53069720013949
rolling,3,Lasso,ToneMean,0.7043093849418715,0.37262160625105367,-89.01463928190553
rolling,3,OLS,NEG,0.6938765862531476,0.37262160625105367,-86.21480199021217
rolling,3,OLS,None,0.6955083049717466,0.37262160625105367,-86.65270432631547
rolling,3,OLS,POSNEG,0.6983843047342493,0.37262160625105367,-87.42453282854272
rolling,3,OLS,ToneMean,0.6803135214773928,0.37262160625105367,-82.57489905698914
rolling,3,Ridge,NEG,0.70014481075304,0.37262160625105367,-87.89699765324872
rolling,3,Ridge,None,0.7020869821685066,0.37262160625105367,-88.41821579596643
rolling,3,Ridge,POSNEG,0.7036350002571902,0.37262160625105367,-88.83365549745291
rolling,3,Ridge,ToneMean,0.6860285295257827,0.37262160625105367,-84.10862870457686
rolling,3,SVR,NEG,0.7077258837541979,0.37262160625105367,-89.93152084620874
rolling,3,SVR,None,0.67561467336991,0.37262160625105367,-81.31387499701637
rolling,3,SVR,POSNEG,0.7644192202222581,0.37262160625105367,-105.14624149497946
rolling,3,SVR,ToneMean,0.715042696146067,0.37262160625105367,-91.89512474601572
rolling,4,ElasticNet,NEG,0.7010561418016281,0.485940954651804,-44.26776238770876
rolling,4,ElasticNet,None,0.7006976838821517,0.485940954651804,-44.19399665217135
rolling,4,ElasticNet,POSNEG,0.6990195358108022,0.485940954651804,-43.848656738898974
rolling,4,ElasticNet,ToneMean,0.6827674966108662,0.485940954651804,-40.50420942603948
rolling,4,Lasso,NEG,0.7106483601554648,0.485940954651804,-46.24170968768678
rolling,4,Lasso,None,0.7103239720819382,0.485940954651804,-46.1749550603146
rolling,4,Lasso,POSNEG,0.7086879700014569,0.485940954651804,-45.83828821533678
rolling,4,Lasso,ToneMean,0.6930452703344239,0.485940954651804,-42.619234641586935
rolling,4,OLS,NEG,0.6877786843734388,0.485940954651804,-41.53544330632918
rolling,4,OLS,None,0.68727539213839,0.485940954651804,-41.43187265021737
rolling,4,OLS,POSNEG,0.6863644310342724,0.485940954651804,-41.24440931842836
rolling,4,OLS,ToneMean,0.6689412645565649,0.485940954651804,-37.65896003474083
rolling,4,Ridge,NEG,0.6955345663940236,0.485940954651804,-43.131497713009544
rolling,4,Ridge,None,0.6951871631686506,0.485940954651804,-43.060006882272326
rolling,4,Ridge,POSNEG,0.693127898619967,0.485940954651804,-42.63623841226158
rolling,4,Ridge,ToneMean,0.6759143188894935,0.485940954651804,-39.09391921366516
rolling,4,SVR,NEG,0.6830449168218047,0.485940954651804,-40.56129870988823
rolling,4,SVR,None,0.645846879554631,0.485940954651804,-32.906451570315994
rolling,4,SVR,POSNEG,0.7377390644422882,0.485940954651804,-51.816605984755405
rolling,4,SVR,ToneMean,0.6772063911165747,0.485940954651804,-39.35981000033635
rolling,5,ElasticNet,NEG,0.6946667176170561,0.5931232427330431,-17.120130787003475
rolling,5,ElasticNet,None,0.6934066616739674,0.5931232427330431,-16.907686584465978
rolling,5,ElasticNet,POSNEG,0.6870957542292838,0.5931232427330431,-15.843673746998402
rolling,5,ElasticNet,ToneMean,0.6725683829615796,0.5931232427330431,-13.394373125973374
rolling,5,Lasso,NEG,0.7072156333097085,0.5931232427330431,-19.235865728502045
rolling,5,Lasso,None,0.7057639913776265,0.5931232427330431,-18.991120315155396
rolling,5,Lasso,POSNEG,0.6989736847558017,0.5931232427330431,-17.84628124418326
rolling,5,Lasso,ToneMean,0.6863170407436798,0.5931232427330431,-15.712383413135282
rolling,5,OLS,NEG,0.6773477287516982,0.5931232427330431,-14.200166162863306
rolling,5,OLS,None,0.6758313653131245,0.5931232427330431,-13.944508766672502
rolling,5,OLS,POSNEG,0.671643133468705,0.5931232427330431,-13.238376964263171
rolling,5,OLS,ToneMean,0.6544102439351933,0.5931232427330431,-10.332928603463062
rolling,5,Ridge,NEG,0.6873387136330579,0.5931232427330431,-15.884636465413301
rolling,5,Ridge,None,0.6858186257102784,0.5931232427330431,-15.628351124819485
rolling,5,Ridge,POSNEG,0.6806317867983483,0.5931232427330431,-14.753855145193109
rolling,5,Ridge,ToneMean,0.663479687710156,0.5931232427330431,-11.862027974644624
rolling,5,SVR,NEG,0.6643482775041188,0.5931232427330431,-12.008471366402551
rolling,5,SVR,None,0.6228894480937619,0.5931232427330431,-5.018553180205789
rolling,5,SVR,POSNEG,0.7223920834433174,0.5931232427330431,-21.79460041299655
rolling,5,SVR,ToneMean,0.6595660886874201,0.5931232427330431,-11.202198998005215
rolling,6,ElasticNet,NEG,0.6779809240937098,0.6942245508375836,2.339823148616083
rolling,6,ElasticNet,None,0.6764824484159117,0.6942245508375836,2.5556719940638897
rolling,6,ElasticNet,POSNEG,0.6653473379247343,0.6942245508375836,4.159635794788423
rolling,6,ElasticNet,ToneMean,0.6525472449827755,0.6942245508375836,6.003433010907543
rolling,6,Lasso,NEG,0.6938952977314518,0.6942245508375836,0.04742746503773314
rolling,6,Lasso,None,0.6920884744856215,0.6942245508375836,0.3076924245022639
rolling,6,Lasso,POSNEG,0.6791767486407544,0.6942245508375836,2.1675698703933777
rolling,6,Lasso,ToneMean,0.6684249702466475,0.6942245508375836,3.7163163647567443
rolling,6,OLS,NEG,0.6559091867026463,0.6942245508375836,5.519160059768806
rolling,6,OLS,None,0.6546648374197946,0.6942245508375836,5.698403113237652
rolling,6,OLS,POSNEG,0.6455151070174694,0.6942245508375836,7.016381624842589
rolling,6,OLS,ToneMean,0.6308710676940855,0.6942245508375836,9.125791225196798
