window_scheme,horizon_h,model,tone_spec,n_common,MSFE_none,MSFE_tone,MSFE_gain,CW_stat,CW_p_one_sided,DM_stat,DM_p_two_sided
expanding,2,SVR,POSNEG,48,0.35767044916632,0.5243433934295055,-0.16667294426318552,0.1840488304765897,0.42698757399656806,-2.415479035181045,0.015714527109928822
expanding,2,SVR,ToneMean,48,0.35767044916632,0.43321257120836315,-0.07554212204204314,0.05723426014536581,0.4771792936150482,-1.760244111418333,0.0783664257097696
expanding,3,ElasticNet,NEG,48,0.8397408695486321,0.8420567455772016,-0.002315876028569419,-1.5200567206105695,0.9357516396487331,-1.5302375416439054,0.12595794197892896
expanding,3,ElasticNet,POSNEG,48,0.8397408695486321,1.047134945542957,-0.2073940759943249,-2.347137897043502,0.9905408741476801,-2.9236808551095077,0.003459192092855945
expanding,3,ElasticNet,ToneMean,48,0.8397408695486321,0.889381825271122,-0.04964095572248983,-2.207648130645499,0.9863655943915346,-2.4651807592565853,0.013694414672017263
expanding,3,Lasso,NEG,48,0.8391626152352343,0.840459348567982,-0.0012967333327477126,-1.5595743647289857,0.940569750794036,-1.5628531338390075,0.11808714320119007
expanding,3,Lasso,POSNEG,48,0.8391626152352343,1.040355396218633,-0.20119278098339866,-2.3405146172968263,0.9903714077142249,-2.921110891739543,0.003487856575756565
expanding,3,Lasso,ToneMean,48,0.8391626152352343,0.8862518882394107,-0.047089273004176424,-2.162831424539343,0.98472292615839,-2.418120428843866,0.0156009125641694
expanding,3,OLS,NEG,48,0.843958152489814,0.8477206368306481,-0.003762484340834149,-1.4098117503182004,0.9207023619564709,-1.4318840036684901,0.15217702093175545
expanding,3,OLS,POSNEG,48,0.843958152489814,1.0533402620346963,-0.20938210954488234,-2.2495271087316646,0.987760509953426,-2.822419771373157,0.004766274578173135
expanding,3,OLS,ToneMean,48,0.843958152489814,0.8932963445671055,-0.04933819207729151,-2.174988502557614,0.9851845110085043,-2.4272311134601066,0.015214560251868736
expanding,3,Ridge,NEG,48,0.8416103321802194,0.845293546832287,-0.003683214652067557,-1.4816314129946309,0.9307808020674815,-1.5023489773617404,0.1330070059953854
expanding,3,Ridge,POSNEG,48,0.8416103321802194,1.0533205353737385,-0.21171020319351908,-2.2967896664454504,0.9891846143306865,-2.868293289937875,0.004126927734645625
expanding,3,Ridge,ToneMean,48,0.8416103321802194,0.8926411405767972,-0.05103080839657781,-2.2147872441599494,0.9866126644134522,-2.468325559215357,0.013574679700525394
expanding,3,SVR,NEG,48,0.34212701882384094,0.4550734458649488,-0.11294642704110786,-1.3771190987786999,0.915762285604979,-2.3702656151746804,0.01777531023114287
expanding,3,SVR,POSNEG,48,0.34212701882384094,0.5214067917989836,-0.1792797729751427,0.06923486550828807,0.4724013355095509,-2.371376514496644,0.017721967496239666
expanding,3,SVR,ToneMean,48,0.34212701882384094,0.43542883054537124,-0.09330181172153029,-0.13420054873206883,0.5533780039936966,-2.0655314315673703,0.03887274469936197
expanding,4,ElasticNet,NEG,47,0.7643815403033402,0.7655883743666337,-0.0012068340632935826,-0.38990037121484855,0.651694890300403,-0.426161341464127,0.6699902847810213
expanding,4,ElasticNet,POSNEG,47,0.7643815403033402,0.9780375212413741,-0.21365598093803395,-2.235536358941343,0.9873089213038513,-2.974339203243885,0.0029362029906117026
expanding,4,ElasticNet,ToneMean,47,0.7643815403033402,0.8257235452448539,-0.06134200494151376,-2.0450320715986425,0.9795741518359607,-2.4209393965383073,0.015480457859608832
expanding,4,Lasso,NEG,47,0.7639625231598869,0.7653998129285736,-0.0014372897686867336,-0.6935594131262165,0.7560207228933518,-0.7192826050612059,0.471966811487456
