window_scheme,horizon_h,model,tone_spec,n_common,rmse_none_aligned,rmse_aligned,mae_none_aligned,mae_aligned,pct_dRMSE_vs_none
expanding,5,ElasticNet,ToneMean,46,0.8236221745927556,0.8624783178573606,0.6837346698458827,0.7196498858497876,-4.717714561754933
expanding,5,Lasso,NEG,46,0.8237566220766507,0.8245048907561205,0.6852828213038736,0.6862263983560338,-0.09083613526329129
expanding,5,Lasso,None,46,0.8237566220766507,0.8237566220766507,0.6852828213038736,0.6852828213038736,
expanding,5,Lasso,POSNEG,46,0.8237566220766507,0.9511544196911639,0.6852828213038736,0.7922739590908747,-15.465465672779603
expanding,5,Lasso,ToneMean,46,0.8237566220766507,0.8611796670147454,0.6852828213038736,0.7188404896557078,-4.542973486969123
expanding,5,OLS,NEG,46,0.8261786477890061,0.8264473884478076,0.6814526335268986,0.6819943703989613,-0.032528153507810194
expanding,5,OLS,None,46,0.8261786477890061,0.8261786477890061,0.6814526335268986,0.6814526335268986,
expanding,5,OLS,POSNEG,46,0.8261786477890061,0.9557170545700783,0.6814526335268986,0.7916341926221504,-15.679224720674991
expanding,5,OLS,ToneMean,46,0.8261786477890061,0.8642577963210196,0.6814526335268986,0.7192073276461057,-4.609069555830303
expanding,5,Ridge,NEG,46,0.8248123473035109,0.825061372344334,0.6817438358452478,0.6822623562333776,-0.03019172077590035
expanding,5,Ridge,None,46,0.8248123473035109,0.8248123473035109,0.6817438358452478,0.6817438358452478,
expanding,5,Ridge,POSNEG,46,0.8248123473035109,0.9556583088850265,0.6817438358452478,0.7918830239307291,-15.863724883517943
expanding,5,Ridge,ToneMean,46,0.8248123473035109,0.8639498384397144,0.6817438358452478,0.7197613398012391,-4.745017610872623
expanding,5,SVR,NEG,46,0.5519264270630483,0.6215253324964386,0.42331410556563237,0.45668521023302117,-12.61017809995893
expanding,5,SVR,None,46,0.5519264270630483,0.5519264270630483,0.42331410556563237,0.42331410556563237,
expanding,5,SVR,POSNEG,46,0.5519264270630483,0.6791663828427655,0.42331410556563237,0.48339388937145283,-23.053789335074228
expanding,5,SVR,ToneMean,46,0.5519264270630483,0.6180870830989069,0.42331410556563237,0.44897014722949946,-11.987223802258864
expanding,6,ElasticNet,NEG,45,0.7738565725446882,0.7744824000058314,0.6082080289983645,0.6081442577691275,-0.08087124712079731
expanding,6,ElasticNet,None,45,0.7738565725446882,0.7738565725446882,0.6082080289983645,0.6082080289983645,
